Georgian,English
და,And
რედაქტირება,Edit
წელი,Year
ეს,This
ის,That
იყო,Was
ამ,Of This
რომელიც,Which
ის,He/She/It
ვინც,Who
შესახებ,About
შემდეგ,After
სხვა,Other
მისი,His/Her/Its
არის,Is
არ,Not
საქართველო,Georgia
დიდი,Big
თარიღი,Date
წ,Ts’
ხ,Kh
სტატია,Article
რესურსი,Resource
ინტერნეტი,Internet
ლიტერატურა,Literature
შეძლება,Can
ძველი,Old
პირველი,First
დახმარება,to Help
თქვენ,You (all)
ჯერჯერობით,Yet
კი,Yes
სია,List
ქართული,Georgian
შევსება,Fill
ზემოთ,Up
ქვემოთ,Down
არა,No
ტომი,Tribe
როგორც,Such as
როგორ,How
საუკუნე,Century
ა,a
ბ,b
გ,g
დ,d
ან,Or
აგრეთვე,Also
ასევე,As Well/Also
მას,Him/Her
აშშ,USA
ახალი,New
წაკითხვა,Read
დროშა,Flag
შორის,Between
ქალაქი,City
სოფელი,Village
ე,e
ვ,v
ზ,z
თ,t
მიერ,By
მსოფლიო,World
მეორე,Second
მათ,Them
ისინი,They
ჩვენ,We
ი,i
კ,k
ლ,l
მ,m
ნ,n
ო,o
პ,p
ჟ,zh
რ,r
ს,s
თუ,if
ეკლესია,Church
სარწმუნოება,Faith
მამული,Homeland
ენა,Tongue
მაგრამ,But
სახელი,Name
გვარი,Surname
ზღვა,Sea
მან,He/She/It
ხალხი,People
ეროვნული,National
ისტორია,History
დრო,Time
ერთად,Together
მის,His/Her/Its
ქვეყანა,Country
ყველაზე,Most
ტ,t’
უ,u
ფ,f
ქ,q
ღ,gh
ყ,k’
შ,sh
ჩ,ch
ც,ts
ჭ,ch’
ძ,dz
ჯ,j
ჰ,h
ქონა/ყოლა,to Have
სამეფო,Kingdom
მდინარე,River
წმინდა,Saint
თუმცა,However
მთავარი,Main
ქალი,Woman
დედა,Mother
კაცი,Man
სადაც,Where
სად,Where
მამა,Father
ბებია,Grandmother
ბაბუა,Grandfather
მე,I
შენ,You (not formal)
ადგილი,Place
გვერდი,Page
ყველა,All
პატარა,Small
ერთი,One
ორი,Two
სამი,Three
ოთხი,Four
ხუთი,Five
ექვსი,Six
შვიდი,Seven
რვა,Eight
ცხრა,Nine
ათი,Ten
უფრო,More
მეფე,King
დედოფალი,Queen
ნაწილი,Part
გამარჯობა,Hello
ნახვამდის,Goodbye
როგორ ხარ?,How are you?
რამდენი წლის ხარ?,How old are you?
სკოლა,School
სწავლა,Study / Learn
ღირსება,Honor
უნდა,Must
ქუთაისი,Kutaisi
თბილისი,Tbilisi
დედაქალაქი,Capital City
დონე,Level
ცნობილი,Famous
თხოვნა,Ask
გემო,Taste
იანვარი,January
თებერვალი,February
მარტი,March
აპრილი,April
მაისი,May
ივნისი,June
ივლისი,July
აგვისტო,August
სექტემბერი,September
ოქტომბერი,October
ნოემბერი,November
ცენტრი,Center
ტბა,Lake
აქ,Here
იქ,There
დეკემბერი,December
მნიშვნელოვანი,Important
ვარ,I am
ხარ,You are
მოდი?,You came?
-ში,In
-ზე,On
ქვეშ,Under
ანუ,Or
ნუ,Well
ძე,Son
ასული,Daughter
გოგო,Girl
ბიჭი,Boy
თამაში,to Play / Game
ცეკვა,to Dance
სმა,to Drink
ჭამა,to Eat
საჭმელი,Food
კარგი,Good
ცუდი,Bad
ძალიან,Very
მადლობა,Thank You
არაფრის,You’re Welcome
დილა,Morning
ღამე,Night
დილა მშვიდობისა,Good Morning
